,state,constituency,won status,votes,(votes),Name,Party Name
3391,Gujarat,Banaskantha(2),won,671883,(+ 30406),GENIBEN NAGAJI THAKOR,Indian National Congress
3404,Gujarat,Valsad(26),won,764226,(+ 210704),DHAVAL LAXMANBHAI  PATEL,Bharatiya Janata Party
3412,Haryana,ROHTAK(7),won,783578,(+ 345298),DEEPENDER SINGH HOODA,Indian National Congress
3439,Jammu and Kashmir,JAMMU(5),won,687588,(+ 135498),JUGAL KISHORE,Bharatiya Janata Party
3462,Jammu and Kashmir,ANANTNAG-RAJOURI(3),won,521836,(+ 281794),MIAN ALTAF AHMAD,Jammu & Kashmir National Conference
3483,Rajasthan,NAGAUR(14),won,596955,(+ 42225),HANUMAN BENIWAL,Rashtriya Loktantrik Party
3493,Rajasthan,SIKAR(5),won,659300,(+ 72896),AMRARAM,Communist Party of India  (Marxist)
3508,Jammu and Kashmir,SRINAGAR(2),won,356866,(+ 188416),AGA SYED RUHULLAH MEHDI,Jammu & Kashmir National Conference
3533,Jammu and Kashmir,UDHAMPUR(4),won,571076,(+ 124373),DR JITENDRA SINGH,Bharatiya Janata Party
3546,Haryana,SONIPAT(6),won,548682,(+ 21816),SATPAL BRAHAMCHARI,Indian National Congress
3569,Haryana,HISAR(4),won,570424,(+ 63381),JAI PARKASH (J P) S/O HARIKESH,Indian National Congress
3598,Haryana,SIRSA(3),won,733823,(+ 268497),SELJA,Indian National Congress
3618,Haryana,AMBALA(1),won,663657,(+ 49036),VARUN CHAUDHRY,Indian National Congress
3633,Gujarat,Navsari(25),won,1031065,(+ 773551),C R PATIL,Bharatiya Janata Party
3648,Gujarat,Surat(24),won,Uncontested,,MUKESHKUMAR CHANDRAKAANT DALAL,Bharatiya Janata Party
3649,Gujarat,Bardoli(23),won,763950,(+ 230253),PARBHUBHAI NAGARBHAI VASAVA,Bharatiya Janata Party
3653,Gujarat,Bharuch(22),won,608157,(+ 85696),MANSUKHBHAI DHANJIBHAI VASAVA,Bharatiya Janata Party
3667,Gujarat,Chhota Udaipur(21),won,796589,(+ 398777),JASHUBHAI BHILUBHAI RATHVA,Bharatiya Janata Party
3674,Gujarat,Vadodara(20),won,873189,(+ 582126),DR. HEMANG JOSHI,Bharatiya Janata Party
3689,Gujarat,Dahod(19),won,688715,(+ 333677),JASWANTSINH SUMANBHAI BHABHOR,Bharatiya Janata Party
3699,Gujarat,Panchmahal(18),won,794579,(+ 509342),RAJPALSINH MAHENDRASINH JADAV,Bharatiya Janata Party
3708,Gujarat,Kheda(17),won,744435,(+ 357758),DEVUSINH CHAUHAN,Bharatiya Janata Party
3721,Gujarat,Anand(16),won,612484,(+ 89939),MITESH PATEL (BAKABHAI),Bharatiya Janata Party
3729,Gujarat,Bhavnagar(15),won,716883,(+ 455289),NIMUBEN JAYANTIBHAI BAMBHANIYA (NIMUBEN BAMBHANIYA),Bharatiya Janata Party
3743,Gujarat,Amreli(14),won,580872,(+ 321068),BHARATBHAI MANUBHAI SUTARIYA,Bharatiya Janata Party
3752,Gujarat,Junagadh(13),won,584049,(+ 135494),CHUDASAMA RAJESHBHAI NARANBHAI,Bharatiya Janata Party
3764,Gujarat,Jamnagar(12),won,620049,(+ 238008),POONAMBEN HEMATBHAI MAADAM,Bharatiya Janata Party
3779,Gujarat,Porbandar(11),won,633118,(+ 383360),DR. MANSUKH MANDAVIYA,Bharatiya Janata Party
3792,Gujarat,Rajkot(10),won,857984,(+ 484260),PARSHOTTAMBHAI RUPALA,Bharatiya Janata Party
3802,Gujarat,Surendranagar(9),won,669749,(+ 261617),CHANDUBHAI CHHAGANBHAI SHIHORA,Bharatiya Janata Party
3817,Gujarat,Ahmedabad West(8),won,611704,(+ 286437),DINESHBHAI MAKWANA (ADVOCATE),Bharatiya Janata Party
3824,Gujarat,Ahmedabad East(7),won,770459,(+ 461755),HASMUKHBHAI PATEL (H.S.PATEL),Bharatiya Janata Party
3843,Gujarat,Gandhinagar(6),won,1010972,(+ 744716),AMIT SHAH,Bharatiya Janata Party
3858,Gujarat,Sabarkantha(5),won,677318,(+ 155682),SHOBHANABEN MAHENDRASINH BARAIYA,Bharatiya Janata Party
3873,Gujarat,Mahesana(4),won,686406,(+ 328046),HARIBHAI PATEL,Bharatiya Janata Party
3880,Gujarat,Patan(3),won,591947,(+ 31876),DABHI  BHARATSINHJI  SHANKARJI,Bharatiya Janata Party
3891,Gujarat,Kachchh(1),won,659574,(+ 268782),CHAVDA VINOD LAKHAMSHI,Bharatiya Janata Party
3903,Haryana,GURGAON(9),won,808336,(+ 75079),RAO INDERJIT SINGH,Bharatiya Janata Party
3927,Haryana,BHIWANI-MAHENDRAGARH(8),won,588664,(+ 41510),DHARAMBIR SINGH,Bharatiya Janata Party
3945,Haryana,KARNAL(5),won,739285,(+ 232577),MANOHAR LAL,Bharatiya Janata Party
3965,Haryana,KURUKSHETRA(2),won,542175,(+ 29021),NAVEEN JINDAL,Bharatiya Janata Party
3997,Himachal Pradesh,HAMIRPUR(3),won,607068,(+ 182357),ANURAG SINGH THAKUR,Bharatiya Janata Party
4010,Himachal Pradesh,MANDI(2),won,537022,(+ 74755),KANGNA RANAUT,Bharatiya Janata Party
