ref,state,constituency,img_link,won_status,votes,votes_percentage,name,party_name
958,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/S01/RAMAN-2024-20240430010228.jpg,lost,56,( -91109),RAMANARAYANA REDDY NAGA SAI,Jatiya Jana Sena Party
959,Andhra Pradesh,Ichchapuram(1),img/nota.jpg,,2347,( -88818),NOTA,None of the Above
960,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/DAGUM-2024-20240419034153.jpg,won,106536,(+ 30948),DAGUMATI VENKATA KRISHNA REDDY,Telugu Desam
961,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/S01/RAMIR-2024-20240429014222.jpg,lost,75588,( -30948),RAMIREDDY PRATAP KUMAR REDDY,Yuvajana Sramika Rythu Congress Party
962,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/S01/PASUP-2024-20240429014519.jpg,lost,11111,( -95425),PASUPULETI SUDHAKAR,Independent
963,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/S01/PODAL-2024-20240429014132.jpg,lost,2340,( -104196),PODALAKURI KALYAN,Indian National Congress
964,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/S01/GUNJI-2024-20240429014045.jpg,lost,630,( -105906),GUNJI VENKATESWARLU,Bahujan Samaj Party
965,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/VIDAV-2024-20240425025605.jpg,lost,326,( -106210),VIDAVALAPATI SREENIVASULU,Independent
966,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/S01/MUPPA-2024-20240429014255.jpg,lost,316,( -106220),MUPPASANI NARENDRA,Jai Bharat National Party
967,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/S01/DEVAR-2024-20240429014448.jpg,lost,225,( -106311),DEVARAPALLE KRISHNAREDDI,Independent
968,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/S01/YELLU-2024-20240429014341.jpg,lost,218,( -106318),YELLU SALMAN,Radical Party of India (Ambedkarist)
969,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/GARRE-2024-20240423022825.jpg,lost,217,( -106319),GARRE SURESH BABU,Independent
970,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/ANUMA-2024-20240422033128.jpg,lost,153,( -106383),ANUMALASETTY HARI PRASADA RAO,Independent
971,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/S01/VAYIL-2024-20240429014600.jpg,lost,147,( -106389),VAYILA TIRAPATHI,Independent
972,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/SABBE-2024-20240420022623.jpg,lost,145,( -106391),SABBELLA VIJAYA BHASKARA REDDY,Pyramid Party of India
973,Andhra Pradesh,Ichchapuram(1),img/nota.jpg,,2030,( -104506),NOTA,None of the Above
974,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/S01/DRUG-2024-20240429080435.jpg,won,107045,(+ 14604),DR. UGRA NARASIMHA REDDY MUKKU,Telugu Desam
975,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/S01/DADDA-2024-20240429080418.jpg,lost,92441,( -14604),DADDALA NARAYANA,Yuvajana Sramika Rythu Congress Party
976,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/DEVAR-2024-20240424011906.jpg,lost,1838,( -105207),DEVARAPALLI SUBBA REDDY,Indian National Congress
977,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/PRABH-2024-20240424125511.jpg,lost,1317,( -105728),THATHAPUDI PRABHUDAS,Bahujan Samaj Party
978,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/SHAMS-2024-20240425031054.jpg,lost,262,( -106783),SHAMSHIRA BHASHA MUPARLAPATI,Independent
979,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/PANDI-2024-20240424034749.jpg,lost,230,( -106815),PANDITI ALLURAIAH,Pyramid Party of India
980,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/SUBHA-2024-20240424023802.jpg,lost,170,( -106875),SHAIK SUBHAHAN,Independent
981,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/ALLAB-2024-20240424015430.jpg,lost,157,( -106888),ALLABAKSH SHAIK,Indian Union Muslim League
982,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/NAZIR-2024-20240423023215.jpg,lost,124,( -106921),SHAIK NAZIR BASHA,Samajwadi Party
983,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/KURSH-2024-20240423031017.jpg,lost,121,( -106924),K KURSHEED,Independent
984,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/CHINA-2024-20240423014817.jpg,lost,120,( -106925),DAMMU VENKATESH,Liberation Congress Party
985,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/MASTA-2024-20240424122030.jpg,lost,105,( -106940),SHAIK MASTAN VALI,Independent
986,Andhra Pradesh,Ichchapuram(1),img/nota.jpg,,2217,( -104828),NOTA,None of the Above
987,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/S01/ASHOK-2024-20240426064648.jpg,won,98463,(+ 973),ASHOK REDDY MUTHUMULA,Telugu Desam
988,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/KUNDU-2024-20240419063152.jpg,lost,97490,( -973),KUNDURU NAGARJUNA REDDY (KP),Yuvajana Sramika Rythu Congress Party
989,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/PEDDA-2024-20240424084402.jpg,lost,2879,( -95584),PAGADALA PEDDA RANGASWAMI,Indian National Congress
990,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/JAYAR-2024-20240424093946.jpg,lost,1487,( -96976),ISUKALA JAYARAJU,Bahujan Samaj Party
991,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/MURAL-2024-20240425100451.jpg,lost,611,( -97852),MEENIGE MURALI MOHAN REDDY,Independent
992,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/VENKA-2024-20240422083015.jpg,lost,577,( -97886),PARISINENI VENKATESWARLU,Independent
993,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/BORRA-2024-20240425100007.jpg,lost,510,( -97953),BORRA RAGHAVENDRA YADAV,Independent
994,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/LAKSH-2024-20240419065423.jpg,lost,369,( -98094),M.LAKSHMI RAMA NAIK,Independent
995,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/JAVVA-2024-20240419064051.jpg,lost,341,( -98122),JAVVAJI PAVAN KUMAR,Pyramid Party of India
996,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/S01/VENKA-2024-20240426054507.jpg,lost,263,( -98200),MUDIAM VENKATA RAMI REDDY,Independent
997,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/SHAMS-2024-20240425092416.jpg,lost,241,( -98222),CHINTA SHAMSON,Telugu Rajadhikara Samiti Party
998,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/BALAS-2024-20240420060105.jpg,lost,178,( -98285),BALASANI MALYADRI REDDY,Independent
999,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/BATTA-2024-20240422084657.jpg,lost,168,( -98295),BATTAPOTHULA OBULESU,Independent
1000,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/BABUR-2024-20240424092752.jpg,lost,160,( -98303),DASARI BABU RAO,Jaibhim Rao Bharat Party
1001,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/BONTH-2024-20240424091833.jpg,lost,150,( -98313),BONTHA RANGA REDDY,Independent
1002,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/PRASA-2024-20240422083358.jpg,lost,150,( -98313),VARIKUNTLA PRASAD,Independent
1003,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/VEERA-2024-20240422081739.jpg,lost,140,( -98323),VEERAMREDDY USHA RANI,Independent
1004,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/JANAV-2024-20240424094537.jpg,lost,130,( -98333),JANAVATH TAGORE NAIK,Liberation Congress Party
1005,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/S01/KOPPU-2024-20240426053637.jpg,lost,121,( -98342),KOPPULA NARASIMHULU,Independent
1006,Andhra Pradesh,Ichchapuram(1),https://results.eci.gov.in/uploads1/candprofile/E24/2024/AC/s01/PIDAT-2024-20240424091413.jpg,lost,113,( -98350),PIDATALA RAMESH  REDDY,Independent
